model,ratio,resample_type,accuracy,precision,recall,f1,roc_auc
LinearSVC,,up,0.9961401355721147,0.0,0.0,0.0,0.8315828847985345
LinearSVC,,down,0.9961401355721147,0.0,0.0,0.0,0.8315828847985345
LinearSVC,0.05,up,0.9964064572202858,0.5708812260536399,0.2778554778554779,0.3737848855440577,0.8287618697952277
LinearSVC,0.05,down,0.9964028582790943,0.5700575815738963,0.27692307692307694,0.37276435519297146,0.8286826322055576
LinearSVC,0.1,up,0.9939897682101926,0.28879462707670556,0.3808857808857809,0.328508242862887,0.8286364462106097
LinearSVC,0.1,down,0.9938817999744475,0.2827968155070959,0.3808857808857809,0.3245927691696464,0.828333592846377
LinearSVC,0.2,up,0.9855610479396961,0.12453697790266956,0.45454545454545453,0.19550832163625426,0.8304453283411833
LinearSVC,0.2,down,0.9856528209400794,0.1257385050089905,0.4564102564102564,0.19716040680696809,0.8314264653431594
LinearSVC,0.3,up,0.9794680405024841,0.09762876748023973,0.524009324009324,0.16459218040708742,0.8319183139344491
LinearSVC,0.3,down,0.9789659882062697,0.09476902173913043,0.5202797202797202,0.16033330938869333,0.8338077895398146
LinearSVC,0.5,up,0.9518551642106892,0.053584385430271365,0.6885780885780886,0.09943114881012488,0.8400402148789898
LinearSVC,0.5,down,0.9534620914526947,0.055645070633641845,0.6923076923076923,0.10301054384017758,0.8400108949159302
LinearSVC,1.0,up,0.7947703785546292,0.013443828969451376,0.7207459207459207,0.026395315087671373,0.8523291760969108
LinearSVC,1.0,down,0.8007896076974155,0.013855302989592849,0.7212121212121212,0.027188288122039737,0.8516615845818447
